position	mouseID	ageSex	treatment	timePoint
Box1_A3	562677_10	youngFemale	stroke	postStroke24h
Box1_A2	562677_10	youngFemale	stroke	postReperfusion3h
Box1_A1	562677_10	youngFemale	stroke	baseline
Box1_B5	562677_1	youngFemale	stroke	postStroke24h
Box1_B3	562677_1	youngFemale	stroke	baseline
Box1_B2	562677_2	youngFemale	stroke	postStroke24h
Box1_B1	562677_2	youngFemale	stroke	postReperfusion3h
Box1_A7	562677_2	youngFemale	stroke	baseline
Box1_A6	562677_3	youngFemale	stroke	postStroke24h
Box1_A5	562677_3	youngFemale	stroke	postReperfusion3h
Box1_A4	562677_3	youngFemale	stroke	baseline
Box3_F1	584969_1	youngMale	antiLy6G	postStroke24h
Box3_E4	584969_1	youngMale	antiLy6G	postReperfusion3h
Box4_C6	584969_1	youngMale	antiLy6G	baseline
Box4_C7	584969_2	youngMale	antiLy6G	baseline
Box4_D2	584969_30	youngMale	antiLy6G	baseline
Box3_E6	584969_3	youngMale	antiLy6G	postReperfusion3h
Box4_D1	584969_3	youngMale	antiLy6G	baseline
Box4_C3	584970_2	youngMale	antiLy6G	postReperfusion3h
Box4_C5	584970_2	youngMale	antiLy6G	baseline
Box3_B6	584975_1	youngFemale	antiLy6G	baseline
Box3_C2	584975_2	youngFemale	antiLy6G	postReperfusion3h
Box3_C3	584975_3	youngFemale	antiLy6G	baseline
Box3_B4	584978_2	youngFemale	antiLy6G	baseline
Box3_B5	584978_3	youngFemale	antiLy6G	baseline
Box3_B7	584975_2	youngFemale	antiLy6G	baseline
